time,simulation,state,bias,estimate,method,truth
365,1,1,-0.01259102922077937,0.9199979707792206,Aalen-Johansen,0.932589
365,1,2,0.014320029220779212,0.08000202922077922,Aalen-Johansen,0.065682
365,1,3,-0.001729,0,Aalen-Johansen,0.001729
730,1,1,-0.01890512911507103,0.8547148708849289,Aalen-Johansen,0.87362
730,1,2,0.027183129115070967,0.14528512911507097,Aalen-Johansen,0.118102
730,1,3,-0.008278,0,Aalen-Johansen,0.008278
1095,1,1,0.003748162747551298,0.8140141627475513,Aalen-Johansen,0.810266
1095,1,2,0.014755837252448556,0.18598583725244855,Aalen-Johansen,0.17123
1095,1,3,-0.018504,0,Aalen-Johansen,0.018504
1460,1,1,-0.004759311309952552,0.7513976886900474,Aalen-Johansen,0.756157
1460,1,2,0.028984311309952465,0.24860231130995247,Aalen-Johansen,0.219618
1460,1,3,-0.024225,0,Aalen-Johansen,0.024225
1825,1,1,0.045364688690047394,0.7513976886900474,Aalen-Johansen,0.706033
1825,1,2,-0.0151646886900475,0.24860231130995247,Aalen-Johansen,0.263767
1825,1,3,-0.030199999999999998,0,Aalen-Johansen,0.030199999999999998
365,2,1,0.006248558240543267,0.9388375582405433,Aalen-Johansen,0.932589
365,2,2,-0.00451955824054337,0.061162441759456634,Aalen-Johansen,0.065682
365,2,3,-0.001729,0,Aalen-Johansen,0.001729
730,2,1,0.027800119325159245,0.9014201193251592,Aalen-Johansen,0.87362
730,2,2,-0.019522119325159307,0.09857988067484069,Aalen-Johansen,0.118102
730,2,3,-0.008278,0,Aalen-Johansen,0.008278
1095,2,1,0.0061801842491701064,0.8164461842491701,Aalen-Johansen,0.810266
1095,2,2,-0.017914931813954288,0.1533150681860457,Aalen-Johansen,0.17123
1095,2,3,0.011734747564784095,0.030238747564784094,Aalen-Johansen,0.018504
1460,2,1,-0.11174769028904774,0.6444093097109522,Aalen-Johansen,0.756157
1460,2,2,0.1057339427242637,0.3253519427242637,Aalen-Johansen,0.219618
1460,2,3,0.006013747564784094,0.030238747564784094,Aalen-Johansen,0.024225
1825,2,1,-0.15368216310489802,0.552350836895102,Aalen-Johansen,0.706033
1825,2,2,0.15364341554011401,0.417410415540114,Aalen-Johansen,0.263767
1825,2,3,3.874756478409666e-5,0.030238747564784094,Aalen-Johansen,0.030199999999999998
365,3,1,0.021683863568215833,0.9542728635682158,Aalen-Johansen,0.932589
365,3,2,-0.019954863568215908,0.045727136431784096,Aalen-Johansen,0.065682
365,3,3,-0.001729,0,Aalen-Johansen,0.001729
730,3,1,0.06361227671878356,0.9372322767187835,Aalen-Johansen,0.87362
730,3,2,-0.05533427671878348,0.06276772328121652,Aalen-Johansen,0.118102
730,3,3,-0.008278,0,Aalen-Johansen,0.008278
1095,3,1,0.10566554315699295,0.915931543156993,Aalen-Johansen,0.810266
1095,3,2,-0.08716154315699293,0.08406845684300707,Aalen-Johansen,0.17123
1095,3,3,-0.018504,0,Aalen-Johansen,0.018504
1460,3,1,0.11814129119531158,0.8742982911953115,Aalen-Johansen,0.756157
1460,3,2,-0.09391629119531147,0.12570170880468853,Aalen-Johansen,0.219618
1460,3,3,-0.024225,0,Aalen-Johansen,0.024225
1825,3,1,0.04720860472211463,0.7532416047221147,Aalen-Johansen,0.706033
1825,3,2,-0.07977873844895733,0.18398826155104264,Aalen-Johansen,0.263767
1825,3,3,0.032570133726842844,0.06277013372684284,Aalen-Johansen,0.030199999999999998
365,4,1,0.010130832508564835,0.9427198325085648,Aalen-Johansen,0.932589
365,4,2,-0.008401832508564896,0.05728016749143511,Aalen-Johansen,0.065682
365,4,3,-0.001729,0,Aalen-Johansen,0.001729
730,4,1,-0.02026373664737635,0.8533562633526236,Aalen-Johansen,0.87362
730,4,2,0.02854173664737654,0.14664373664737654,Aalen-Johansen,0.118102
730,4,3,-0.008278,0,Aalen-Johansen,0.008278
1095,4,1,-0.0327315938303967,0.7775344061696033,Aalen-Johansen,0.810266
1095,4,2,0.024424062583169148,0.19565406258316914,Aalen-Johansen,0.17123
1095,4,3,0.0083075312472277,0.0268115312472277,Aalen-Johansen,0.018504
1460,4,1,-0.08592782713334457,0.6702291728666554,Aalen-Johansen,0.756157
1460,4,2,0.08334129588611713,0.30295929588611714,Aalen-Johansen,0.219618
