time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,MESO,500,5,0.952,0
730,MSMI-Cox,MESO,500,5,0.95,0
1095,MSMI-Cox,MESO,500,5,0.946,0
1460,MSMI-Cox,MESO,500,5,0.958,0
1825,MSMI-Cox,MESO,500,5,0.938,0
365,MSMI-Marginal,MESO,500,5,0.952,0
730,MSMI-Marginal,MESO,500,5,0.948,0
1095,MSMI-Marginal,MESO,500,5,0.954,0
1460,MSMI-Marginal,MESO,500,5,0.96,0
1825,MSMI-Marginal,MESO,500,5,0.944,0
365,AJ,MESO,500,5,0.95,0
730,AJ,MESO,500,5,0.942,0
1095,AJ,MESO,500,5,0.948,0
1460,AJ,MESO,500,5,0.95,0
1825,AJ,MESO,500,5,0.928,0
