time,coverageAJ,coverageMSMI,coverageMSMICox
365,0.964,0.97,0.968
730,0.952,0.958,0.958
1095,0.948,0.962,0.96
1460,0.9390756302521008,0.9495798319327731,0.9474789915966386
1825,0.9154929577464789,0.9464788732394366,0.9408450704225352
