time,cancer_type,method,sample_size,n_imps,coverage,undefined_region_pct
365,LIHC,MSMI-Marginal,800,10,0.938,0
730,LIHC,MSMI-Marginal,800,10,0.942,0
1095,LIHC,MSMI-Marginal,800,10,0.948,0
1460,LIHC,MSMI-Marginal,800,10,0.898,0
1825,LIHC,MSMI-Marginal,800,10,0.842,0
365,LIHC,AJ,800,10,0.94,0
730,LIHC,AJ,800,10,0.938,0
1095,LIHC,AJ,800,10,0.958,0
1460,LIHC,AJ,800,10,0.944,0
1825,LIHC,AJ,800,10,0.952,0
