time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,MESO,100,5,0.972,0
730,MSMI-Cox,MESO,100,5,0.962,0
1095,MSMI-Cox,MESO,100,5,0.96,0
1460,MSMI-Cox,MESO,100,5,0.9642857142857143,4.8
1825,MSMI-Cox,MESO,100,5,0.9479768786127167,30.8
365,MSMI-Marginal,MESO,100,5,0.97,0
730,MSMI-Marginal,MESO,100,5,0.964,0
1095,MSMI-Marginal,MESO,100,5,0.96,0
1460,MSMI-Marginal,MESO,100,5,0.9726890756302521,4.8
1825,MSMI-Marginal,MESO,100,5,0.9481268011527377,30.599999999999998
365,AJ,MESO,100,5,0.97,0
730,AJ,MESO,100,5,0.954,0
1095,AJ,MESO,100,5,0.944,0
1460,AJ,MESO,100,5,0.9456066945606695,4.3999999999999995
1825,AJ,MESO,100,5,0.8868421052631579,24
