time,cancer_type,method,sample_size,n_imps,coverage,undefined_region_pct
365,UCEC,MSMI-Marginal,500,10,0.972,0
730,UCEC,MSMI-Marginal,500,10,0.976,0
1095,UCEC,MSMI-Marginal,500,10,0.954,0
1460,UCEC,MSMI-Marginal,500,10,0.928,0
1825,UCEC,MSMI-Marginal,500,10,0.882,0
365,UCEC,AJ,500,10,0.97,0
730,UCEC,AJ,500,10,0.964,0
1095,UCEC,AJ,500,10,0.95,0
1460,UCEC,AJ,500,10,0.94,0
1825,UCEC,AJ,500,10,0.936,0
