time,cancer_type,method,sample_size,n_imps,coverage,undefined_region_pct
365,UCEC,MSMI-Marginal,300,10,0.956,0
730,UCEC,MSMI-Marginal,300,10,0.952,0
1095,UCEC,MSMI-Marginal,300,10,0.944,0
1460,UCEC,MSMI-Marginal,300,10,0.924,0
1825,UCEC,MSMI-Marginal,300,10,0.91,0
365,UCEC,AJ,300,10,0.946,0
730,UCEC,AJ,300,10,0.954,0
1095,UCEC,AJ,300,10,0.954,0
1460,UCEC,AJ,300,10,0.954,0
1825,UCEC,AJ,300,10,0.958,0
