time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,LIHC,500,10,0.964,0
730,MSMI-Cox,LIHC,500,10,0.948,0
1095,MSMI-Cox,LIHC,500,10,0.918,0
1460,MSMI-Cox,LIHC,500,10,0.902,0
1825,MSMI-Cox,LIHC,500,10,0.868,0
365,MSMI-Marginal,LIHC,500,10,0.964,0
730,MSMI-Marginal,LIHC,500,10,0.95,0
1095,MSMI-Marginal,LIHC,500,10,0.918,0
1460,MSMI-Marginal,LIHC,500,10,0.9,0
1825,MSMI-Marginal,LIHC,500,10,0.872,0
365,AJ,LIHC,500,10,0.966,0
730,AJ,LIHC,500,10,0.956,0
1095,AJ,LIHC,500,10,0.936,0
1460,AJ,LIHC,500,10,0.938,0
1825,AJ,LIHC,500,10,0.944,0
