time,cancer_type,method,sample_size,n_imps,coverage,undefined_region_pct
365,UCEC,MSMI-Marginal,1000,10,0.958,0
730,UCEC,MSMI-Marginal,1000,10,0.95,0
1095,UCEC,MSMI-Marginal,1000,10,0.944,0
1460,UCEC,MSMI-Marginal,1000,10,0.928,0
1825,UCEC,MSMI-Marginal,1000,10,0.902,0
365,UCEC,AJ,1000,10,0.956,0
730,UCEC,AJ,1000,10,0.95,0
1095,UCEC,AJ,1000,10,0.942,0
1460,UCEC,AJ,1000,10,0.97,0
1825,UCEC,AJ,1000,10,0.944,0
