time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,LIHC,300,30,0.958,0
730,MSMI-Cox,LIHC,300,30,0.944,0
1095,MSMI-Cox,LIHC,300,30,0.94,0
1460,MSMI-Cox,LIHC,300,30,0.926,0
1825,MSMI-Cox,LIHC,300,30,0.858,0
365,MSMI-Marginal,LIHC,300,30,0.96,0
730,MSMI-Marginal,LIHC,300,30,0.946,0
1095,MSMI-Marginal,LIHC,300,30,0.94,0
1460,MSMI-Marginal,LIHC,300,30,0.924,0
1825,MSMI-Marginal,LIHC,300,30,0.846,0
365,AJ,LIHC,300,30,0.96,0
730,AJ,LIHC,300,30,0.948,0
1095,AJ,LIHC,300,30,0.954,0
1460,AJ,LIHC,300,30,0.956,0
1825,AJ,LIHC,300,30,0.942,0
