time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,LIHC,100,20,0.968,0
730,MSMI-Cox,LIHC,100,20,0.964,0
1095,MSMI-Cox,LIHC,100,20,0.932,0
1460,MSMI-Cox,LIHC,100,20,0.908,0
1825,MSMI-Cox,LIHC,100,20,0.8699186991869918,1.6
365,MSMI-Marginal,LIHC,100,20,0.968,0
730,MSMI-Marginal,LIHC,100,20,0.962,0
1095,MSMI-Marginal,LIHC,100,20,0.932,0
1460,MSMI-Marginal,LIHC,100,20,0.906,0
1825,MSMI-Marginal,LIHC,100,20,0.8760162601626016,1.6
365,AJ,LIHC,100,20,0.964,0
730,AJ,LIHC,100,20,0.954,0
1095,AJ,LIHC,100,20,0.95,0
1460,AJ,LIHC,100,20,0.932,0
1825,AJ,LIHC,100,20,0.9336016096579477,0.6
