time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,MESO,50,5,0.9513184584178499,1.4000000000000001
730,MSMI-Cox,MESO,50,5,0.973630831643002,1.4000000000000001
1095,MSMI-Cox,MESO,50,5,0.9526748971193416,2.8000000000000003
1460,MSMI-Cox,MESO,50,5,0.9576719576719577,24.4
1825,MSMI-Cox,MESO,50,5,0.8743455497382199,61.8
365,MSMI-Marginal,MESO,50,5,0.949290060851927,1.4000000000000001
730,MSMI-Marginal,MESO,50,5,0.9756592292089249,1.4000000000000001
1095,MSMI-Marginal,MESO,50,5,0.9506172839506173,2.8000000000000003
1460,MSMI-Marginal,MESO,50,5,0.9708222811671088,24.6
1825,MSMI-Marginal,MESO,50,5,0.8952879581151832,61.8
365,AJ,MESO,50,5,0.934,0
730,AJ,MESO,50,5,0.956,0
1095,AJ,MESO,50,5,0.9352226720647774,1.2
1460,AJ,MESO,50,5,0.8926829268292683,18
1825,AJ,MESO,50,5,0.73046875,48.8
