time,cancer_type,method,sample_size,n_imps,coverage,undefined_region_pct
365,KICH,MSMI-Marginal,50,30,0.9612068965517241,53.6
730,KICH,MSMI-Marginal,50,30,0.96996996996997,33.4
1095,KICH,MSMI-Marginal,50,30,0.9745547073791349,21.4
1460,KICH,MSMI-Marginal,50,30,0.9633251833740831,18.2
1825,KICH,MSMI-Marginal,50,30,0.9600997506234414,19.8
365,KICH,AJ,50,30,0.9401709401709402,53.2
730,KICH,AJ,50,30,0.9622093023255814,31.2
1095,KICH,AJ,50,30,0.9527363184079602,19.6
1460,KICH,AJ,50,30,0.9435294117647058,15
1825,KICH,AJ,50,30,0.9414519906323185,14.6
