time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,PRAD,100,5,0.5873015873015873,74.8
730,MSMI-Cox,PRAD,100,5,0.5044510385756676,32.6
1095,MSMI-Cox,PRAD,100,5,0.4813953488372093,14.000000000000002
1460,MSMI-Cox,PRAD,100,5,0.49671772428884026,8.6
1825,MSMI-Cox,PRAD,100,5,0.452991452991453,6.4
365,MSMI-Marginal,PRAD,100,5,0.5873015873015873,74.8
730,MSMI-Marginal,PRAD,100,5,0.5044510385756676,32.6
1095,MSMI-Marginal,PRAD,100,5,0.4813953488372093,14.000000000000002
1460,MSMI-Marginal,PRAD,100,5,0.49671772428884026,8.6
1825,MSMI-Marginal,PRAD,100,5,0.452991452991453,6.4
365,AJ,PRAD,100,5,0.875,85.6
730,AJ,PRAD,100,5,0.9348837209302325,56.99999999999999
1095,AJ,PRAD,100,5,0.9505813953488372,31.2
1460,AJ,PRAD,100,5,0.9567567567567568,26
1825,AJ,PRAD,100,5,0.9557291666666666,23.200000000000003
