time,coverageAJ,coverageMSMI,coverageMSMICox
365,0.964,0.962,0.966
730,0.95,0.95,0.954
1095,0.958,0.95,0.954
1460,0.9357429718875502,0.9457831325301205,0.9497991967871486
1825,0.9481641468682506,0.9503239740820735,0.9438444924406048
