time,cancer_type,method,sample_size,n_imps,coverage,undefined_region_pct
365,KICH,MSMI-Marginal,100,10,0.97,20
730,KICH,MSMI-Marginal,100,10,0.9675324675324676,7.6
1095,KICH,MSMI-Marginal,100,10,0.9527720739219713,2.6
1460,KICH,MSMI-Marginal,100,10,0.9405737704918032,2.4
1825,KICH,MSMI-Marginal,100,10,0.9311064718162839,4.2
365,KICH,AJ,100,10,0.9501246882793017,19.8
730,KICH,AJ,100,10,0.9588744588744589,7.6
1095,KICH,AJ,100,10,0.9425051334702259,2.6
1460,KICH,AJ,100,10,0.9205702647657841,1.7999999999999998
1825,KICH,AJ,100,10,0.9222903885480572,2.1999999999999997
