time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,MESO,100,20,0.972,0
730,MSMI-Cox,MESO,100,20,0.956,0
1095,MSMI-Cox,MESO,100,20,0.956,0
1460,MSMI-Cox,MESO,100,20,0.9642857142857143,4.8
1825,MSMI-Cox,MESO,100,20,0.9478260869565217,31
365,MSMI-Marginal,MESO,100,20,0.972,0
730,MSMI-Marginal,MESO,100,20,0.958,0
1095,MSMI-Marginal,MESO,100,20,0.962,0
1460,MSMI-Marginal,MESO,100,20,0.9621848739495799,4.8
1825,MSMI-Marginal,MESO,100,20,0.9508670520231214,30.8
365,AJ,MESO,100,20,0.97,0
730,AJ,MESO,100,20,0.954,0
1095,AJ,MESO,100,20,0.944,0
1460,AJ,MESO,100,20,0.9456066945606695,4.3999999999999995
1825,AJ,MESO,100,20,0.8865435356200527,24.2
