time,coverageAJ,coverageMSMI,coverageMSMICox
365,0.8299319727891157,0.7210884353741497,0.7210884353741497
730,0.9561643835616438,0.8191780821917808,0.8191780821917808
1095,0.9550561797752809,0.802247191011236,0.802247191011236
1460,0.9506437768240343,0.7811158798283262,0.7811158798283262
1825,0.9474789915966386,0.7289915966386554,0.7289915966386554
