time,cancer_type,method,sample_size,n_imps,coverage,undefined_region_pct
365,KICH,MSMI-Marginal,50,10,0.9612068965517241,53.6
730,KICH,MSMI-Marginal,50,10,0.9640718562874252,33.2
1095,KICH,MSMI-Marginal,50,10,0.9694656488549618,21.4
1460,KICH,MSMI-Marginal,50,10,0.9634146341463414,18
1825,KICH,MSMI-Marginal,50,10,0.9652605459057072,19.400000000000002
365,KICH,AJ,50,10,0.9401709401709402,53.2
730,KICH,AJ,50,10,0.9622093023255814,31.2
1095,KICH,AJ,50,10,0.9527363184079602,19.6
1460,KICH,AJ,50,10,0.9435294117647058,15
1825,KICH,AJ,50,10,0.9414519906323185,14.6
