time,cancer_type,method,sample_size,n_imps,coverage,undefined_region_pct
365,KICH,MSMI-Marginal,100,20,0.9675,20
730,KICH,MSMI-Marginal,100,20,0.9718004338394793,7.8
1095,KICH,MSMI-Marginal,100,20,0.9523809523809523,3.4000000000000004
1460,KICH,MSMI-Marginal,100,20,0.9465020576131687,2.8000000000000003
1825,KICH,MSMI-Marginal,100,20,0.939203354297694,4.6
365,KICH,AJ,100,20,0.9501246882793017,19.8
730,KICH,AJ,100,20,0.9588744588744589,7.6
1095,KICH,AJ,100,20,0.9425051334702259,2.6
1460,KICH,AJ,100,20,0.9205702647657841,1.7999999999999998
1825,KICH,AJ,100,20,0.9222903885480572,2.1999999999999997
