time,coverageAJ,coverageMSMI,coverageMSMICox
365,0.962,0.968,0.968
730,0.926,0.948,0.938
1095,0.93,0.918,0.916
1460,0.93,0.906,0.914
1825,0.9327902240325866,0.8635437881873728,0.8655804480651731
