time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,KIRC,300,20,0.952,0
730,MSMI-Cox,KIRC,300,20,0.972,0
1095,MSMI-Cox,KIRC,300,20,0.968,0
1460,MSMI-Cox,KIRC,300,20,0.962,0
1825,MSMI-Cox,KIRC,300,20,0.948,0
365,MSMI-Marginal,KIRC,300,20,0.952,0
730,MSMI-Marginal,KIRC,300,20,0.972,0
1095,MSMI-Marginal,KIRC,300,20,0.97,0
1460,MSMI-Marginal,KIRC,300,20,0.96,0
1825,MSMI-Marginal,KIRC,300,20,0.948,0
365,AJ,KIRC,300,20,0.95,0
730,AJ,KIRC,300,20,0.97,0
1095,AJ,KIRC,300,20,0.962,0
1460,AJ,KIRC,300,20,0.962,0
1825,AJ,KIRC,300,20,0.956,0
