time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,PRAD,300,20,0.8609865470852018,55.400000000000006
730,MSMI-Cox,PRAD,300,20,0.8680089485458613,10.6
1095,MSMI-Cox,PRAD,300,20,0.8724696356275303,1.2
1460,MSMI-Cox,PRAD,300,20,0.8709677419354839,0.8
1825,MSMI-Cox,PRAD,300,20,0.8148893360160966,0.6
365,MSMI-Marginal,PRAD,300,20,0.8609865470852018,55.400000000000006
730,MSMI-Marginal,PRAD,300,20,0.8702460850111857,10.6
1095,MSMI-Marginal,PRAD,300,20,0.8744939271255061,1.2
1460,MSMI-Marginal,PRAD,300,20,0.8709677419354839,0.8
1825,MSMI-Marginal,PRAD,300,20,0.8148893360160966,0.6
365,AJ,PRAD,300,20,0.919431279620853,57.8
730,AJ,PRAD,300,20,0.9267734553775744,12.6
1095,AJ,PRAD,300,20,0.950920245398773,2.1999999999999997
1460,AJ,PRAD,300,20,0.9592668024439919,1.7999999999999998
1825,AJ,PRAD,300,20,0.9471544715447154,1.6
