time,cancer_type,method,sample_size,n_imps,coverage,undefined_region_pct
365,LIHC,MSMI-Marginal,1000,10,0.95,0
730,LIHC,MSMI-Marginal,1000,10,0.956,0
1095,LIHC,MSMI-Marginal,1000,10,0.936,0
1460,LIHC,MSMI-Marginal,1000,10,0.898,0
1825,LIHC,MSMI-Marginal,1000,10,0.858,0
365,LIHC,AJ,1000,10,0.946,0
730,LIHC,AJ,1000,10,0.968,0
1095,LIHC,AJ,1000,10,0.954,0
1460,LIHC,AJ,1000,10,0.948,0
1825,LIHC,AJ,1000,10,0.966,0
