time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,PRAD,100,10,0.6209677419354839,75.2
730,MSMI-Cox,PRAD,100,10,0.5059880239520959,33.2
1095,MSMI-Cox,PRAD,100,10,0.4895591647331787,13.8
1460,MSMI-Cox,PRAD,100,10,0.5043859649122807,8.799999999999999
1825,MSMI-Cox,PRAD,100,10,0.4582441113490364,6.6000000000000005
365,MSMI-Marginal,PRAD,100,10,0.6209677419354839,75.2
730,MSMI-Marginal,PRAD,100,10,0.5059880239520959,33.2
1095,MSMI-Marginal,PRAD,100,10,0.4895591647331787,13.8
1460,MSMI-Marginal,PRAD,100,10,0.5043859649122807,8.799999999999999
1825,MSMI-Marginal,PRAD,100,10,0.4582441113490364,6.6000000000000005
365,AJ,PRAD,100,10,0.875,85.6
730,AJ,PRAD,100,10,0.9351851851851852,56.8
1095,AJ,PRAD,100,10,0.9507246376811594,31
1460,AJ,PRAD,100,10,0.9567567567567568,26
1825,AJ,PRAD,100,10,0.9557291666666666,23.200000000000003
