time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,LIHC,100,30,0.97,0
730,MSMI-Cox,LIHC,100,30,0.96,0
1095,MSMI-Cox,LIHC,100,30,0.936,0
1460,MSMI-Cox,LIHC,100,30,0.902,0
1825,MSMI-Cox,LIHC,100,30,0.8556910569105691,1.6
365,MSMI-Marginal,LIHC,100,30,0.97,0
730,MSMI-Marginal,LIHC,100,30,0.962,0
1095,MSMI-Marginal,LIHC,100,30,0.934,0
1460,MSMI-Marginal,LIHC,100,30,0.904,0
1825,MSMI-Marginal,LIHC,100,30,0.8658536585365854,1.6
365,AJ,LIHC,100,30,0.964,0
730,AJ,LIHC,100,30,0.954,0
1095,AJ,LIHC,100,30,0.95,0
1460,AJ,LIHC,100,30,0.932,0
1825,AJ,LIHC,100,30,0.9356136820925554,0.6
