time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,LIHC,50,10,0.978,0
730,MSMI-Cox,LIHC,50,10,0.966,0
1095,MSMI-Cox,LIHC,50,10,0.9418837675350702,0.2
1460,MSMI-Cox,LIHC,50,10,0.9200819672131147,2.4
1825,MSMI-Cox,LIHC,50,10,0.8852459016393442,14.6
365,MSMI-Marginal,LIHC,50,10,0.978,0
730,MSMI-Marginal,LIHC,50,10,0.968,0
1095,MSMI-Marginal,LIHC,50,10,0.9338677354709419,0.2
1460,MSMI-Marginal,LIHC,50,10,0.9243353783231084,2.1999999999999997
1825,MSMI-Marginal,LIHC,50,10,0.8837209302325582,14.000000000000002
365,AJ,LIHC,50,10,0.974,0
730,AJ,LIHC,50,10,0.956,0
1095,AJ,LIHC,50,10,0.93,0
1460,AJ,LIHC,50,10,0.9393939393939394,1
1825,AJ,LIHC,50,10,0.8710359408033826,5.4
