time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,LIHC,50,20,0.976,0
730,MSMI-Cox,LIHC,50,20,0.966,0
1095,MSMI-Cox,LIHC,50,20,0.9438877755511023,0.2
1460,MSMI-Cox,LIHC,50,20,0.9260780287474333,2.6
1825,MSMI-Cox,LIHC,50,20,0.8823529411764706,15
365,MSMI-Marginal,LIHC,50,20,0.976,0
730,MSMI-Marginal,LIHC,50,20,0.97,0
1095,MSMI-Marginal,LIHC,50,20,0.9458917835671342,0.2
1460,MSMI-Marginal,LIHC,50,20,0.930327868852459,2.4
1825,MSMI-Marginal,LIHC,50,20,0.8992974238875878,14.6
365,AJ,LIHC,50,20,0.974,0
730,AJ,LIHC,50,20,0.956,0
1095,AJ,LIHC,50,20,0.93,0
1460,AJ,LIHC,50,20,0.9393939393939394,1
1825,AJ,LIHC,50,20,0.8710359408033826,5.4
