time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,LIHC,500,20,0.972,0
730,MSMI-Cox,LIHC,500,20,0.942,0
1095,MSMI-Cox,LIHC,500,20,0.914,0
1460,MSMI-Cox,LIHC,500,20,0.88,0
1825,MSMI-Cox,LIHC,500,20,0.868,0
365,MSMI-Marginal,LIHC,500,20,0.97,0
730,MSMI-Marginal,LIHC,500,20,0.946,0
1095,MSMI-Marginal,LIHC,500,20,0.91,0
1460,MSMI-Marginal,LIHC,500,20,0.876,0
1825,MSMI-Marginal,LIHC,500,20,0.866,0
365,AJ,LIHC,500,20,0.966,0
730,AJ,LIHC,500,20,0.956,0
1095,AJ,LIHC,500,20,0.936,0
1460,AJ,LIHC,500,20,0.938,0
1825,AJ,LIHC,500,20,0.944,0
