time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,PRAD,50,20,0.030303030303030304,80.2
730,MSMI-Cox,PRAD,50,20,0.44761904761904764,37
1095,MSMI-Cox,PRAD,50,20,0.2645631067961165,17.599999999999998
1460,MSMI-Cox,PRAD,50,20,0.2273781902552204,13.8
1825,MSMI-Cox,PRAD,50,20,0.2302325581395349,14.000000000000002
365,MSMI-Marginal,PRAD,50,20,0.030303030303030304,80.2
730,MSMI-Marginal,PRAD,50,20,0.44761904761904764,37
1095,MSMI-Marginal,PRAD,50,20,0.2645631067961165,17.599999999999998
1460,MSMI-Marginal,PRAD,50,20,0.2273781902552204,13.8
1825,MSMI-Marginal,PRAD,50,20,0.2302325581395349,14.000000000000002
365,AJ,PRAD,50,20,0,92.80000000000001
730,AJ,PRAD,50,20,0.7661290322580645,75.2
1095,AJ,PRAD,50,20,0.9117647058823529,59.199999999999996
1460,AJ,PRAD,50,20,0.9224137931034483,53.6
1825,AJ,PRAD,50,20,0.9407114624505929,49.4
