time,simulation,state,bias,estimate,method,truth
365,1,1,5.811631701632125e-4,0.9331701631701632,Aalen-Johansen,0.932589
365,1,2,0.0011478368298368513,0.06682983682983686,Aalen-Johansen,0.065682
365,1,3,-0.001729,0,Aalen-Johansen,0.001729
730,1,1,0.0012270279720280053,0.874847027972028,Aalen-Johansen,0.87362
730,1,2,-0.022110595571095543,0.09599140442890446,Aalen-Johansen,0.118102
730,1,3,0.020883567599067555,0.029161567599067555,Aalen-Johansen,0.008278
1095,1,1,0.02812906847319352,0.8383950684731936,Aalen-Johansen,0.810266
1095,1,2,-0.03878663607226113,0.13244336392773887,Aalen-Johansen,0.17123
1095,1,3,0.010657567599067556,0.029161567599067555,Aalen-Johansen,0.018504
1460,1,1,0.03292071150418219,0.7890777115041822,Aalen-Johansen,0.756157
1460,1,2,-0.037857279103249736,0.18176072089675027,Aalen-Johansen,0.219618
1460,1,3,0.004936567599067555,0.029161567599067555,Aalen-Johansen,0.024225
1825,1,1,0.08304471150418213,0.7890777115041822,Aalen-Johansen,0.706033
1825,1,2,-0.0820062791032497,0.18176072089675027,Aalen-Johansen,0.263767
1825,1,3,-0.0010384324009324424,0.029161567599067555,Aalen-Johansen,0.030199999999999998
365,2,1,0.002070090909090827,0.9346590909090908,Aalen-Johansen,0.932589
365,2,2,-3.410909090909159e-4,0.06534090909090909,Aalen-Johansen,0.065682
365,2,3,-0.001729,0,Aalen-Johansen,0.001729
730,2,1,-0.042312635489510586,0.8313073645104894,Aalen-Johansen,0.87362
730,2,2,0.05059063548951044,0.16869263548951044,Aalen-Johansen,0.118102
730,2,3,-0.008278,0,Aalen-Johansen,0.008278
1095,2,1,-0.04977370728114494,0.7604922927188551,Aalen-Johansen,0.810266
1095,2,2,0.028381347853535244,0.19961134785353524,Aalen-Johansen,0.17123
1095,2,3,0.021392359427609427,0.039896359427609426,Aalen-Johansen,0.018504
1460,2,1,-0.049985585332491644,0.7061714146675083,Aalen-Johansen,0.756157
1460,2,2,0.03431422590488206,0.25393222590488207,Aalen-Johansen,0.219618
1460,2,3,0.015671359427609426,0.039896359427609426,Aalen-Johansen,0.024225
1825,2,1,-0.054182463383838475,0.6518505366161615,Aalen-Johansen,0.706033
1825,2,2,0.04448610395622887,0.30825310395622885,Aalen-Johansen,0.263767
1825,2,3,0.009696359427609429,0.039896359427609426,Aalen-Johansen,0.030199999999999998
365,3,1,-0.020125423112870355,0.9124635768871296,Aalen-Johansen,0.932589
365,3,2,0.02185442311287035,0.08753642311287035,Aalen-Johansen,0.065682
365,3,3,-0.001729,0,Aalen-Johansen,0.001729
730,3,1,0.013497366418042667,0.8871173664180426,Aalen-Johansen,0.87362
730,3,2,-0.0052193664180426175,0.11288263358195738,Aalen-Johansen,0.118102
730,3,3,-0.008278,0,Aalen-Johansen,0.008278
1095,3,1,0.07685136641804258,0.8871173664180426,Aalen-Johansen,0.810266
1095,3,2,-0.05834736641804261,0.11288263358195738,Aalen-Johansen,0.17123
1095,3,3,-0.018504,0,Aalen-Johansen,0.018504
1460,3,1,0.13096036641804265,0.8871173664180426,Aalen-Johansen,0.756157
1460,3,2,-0.10673536641804263,0.11288263358195738,Aalen-Johansen,0.219618
1460,3,3,-0.024225,0,Aalen-Johansen,0.024225
