time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,PRAD,500,20,0.9133574007220217,44.6
730,MSMI-Cox,PRAD,500,20,0.9497907949790795,4.3999999999999995
1095,MSMI-Cox,PRAD,500,20,0.9274193548387096,0.8
1460,MSMI-Cox,PRAD,500,20,0.9014084507042254,0.6
1825,MSMI-Cox,PRAD,500,20,0.8694779116465864,0.4
365,MSMI-Marginal,PRAD,500,20,0.9169675090252708,44.6
730,MSMI-Marginal,PRAD,500,20,0.9518828451882845,4.3999999999999995
1095,MSMI-Marginal,PRAD,500,20,0.9274193548387096,0.8
1460,MSMI-Marginal,PRAD,500,20,0.89738430583501,0.6
1825,MSMI-Marginal,PRAD,500,20,0.8614457831325302,0.4
365,AJ,PRAD,500,20,0.9169675090252708,44.6
730,AJ,PRAD,500,20,0.9623430962343096,4.3999999999999995
1095,AJ,PRAD,500,20,0.9536290322580645,0.8
1460,AJ,PRAD,500,20,0.9537223340040242,0.6
1825,AJ,PRAD,500,20,0.9598393574297188,0.4
