time,cancer_type,method,sample_size,n_imps,coverage,undefined_region_pct
365,KICH,MSMI-Marginal,100,30,0.9675,20
730,KICH,MSMI-Marginal,100,30,0.9696969696969697,7.6
1095,KICH,MSMI-Marginal,100,30,0.9566115702479339,3.2
1460,KICH,MSMI-Marginal,100,30,0.9425051334702259,2.6
1825,KICH,MSMI-Marginal,100,30,0.9414225941422594,4.3999999999999995
365,KICH,AJ,100,30,0.9501246882793017,19.8
730,KICH,AJ,100,30,0.9588744588744589,7.6
1095,KICH,AJ,100,30,0.9425051334702259,2.6
1460,KICH,AJ,100,30,0.9205702647657841,1.7999999999999998
1825,KICH,AJ,100,30,0.9222903885480572,2.1999999999999997
