time,cancer_type,method,sample_size,n_imps,coverage,undefined_region_pct
365,UCEC,MSMI-Marginal,500,5,0.972,0
730,UCEC,MSMI-Marginal,500,5,0.968,0
1095,UCEC,MSMI-Marginal,500,5,0.944,0
1460,UCEC,MSMI-Marginal,500,5,0.918,0
1825,UCEC,MSMI-Marginal,500,5,0.874,0
365,UCEC,AJ,500,5,0.97,0
730,UCEC,AJ,500,5,0.964,0
1095,UCEC,AJ,500,5,0.95,0
1460,UCEC,AJ,500,5,0.94,0
1825,UCEC,AJ,500,5,0.936,0
