time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,PRAD,500,30,0.9169675090252708,44.6
730,MSMI-Cox,PRAD,500,30,0.9560669456066946,4.3999999999999995
1095,MSMI-Cox,PRAD,500,30,0.9294354838709677,0.8
1460,MSMI-Cox,PRAD,500,30,0.9134808853118712,0.6
1825,MSMI-Cox,PRAD,500,30,0.8694779116465864,0.4
365,MSMI-Marginal,PRAD,500,30,0.9169675090252708,44.6
730,MSMI-Marginal,PRAD,500,30,0.9581589958158996,4.3999999999999995
1095,MSMI-Marginal,PRAD,500,30,0.9294354838709677,0.8
1460,MSMI-Marginal,PRAD,500,30,0.9134808853118712,0.6
1825,MSMI-Marginal,PRAD,500,30,0.8674698795180723,0.4
365,AJ,PRAD,500,30,0.9169675090252708,44.6
730,AJ,PRAD,500,30,0.9623430962343096,4.3999999999999995
1095,AJ,PRAD,500,30,0.9536290322580645,0.8
1460,AJ,PRAD,500,30,0.9537223340040242,0.6
1825,AJ,PRAD,500,30,0.9598393574297188,0.4
