time,cancer_type,method,sample_size,n_imps,coverage,undefined_region_pct
365,KICH,MSMI-Marginal,100,5,0.9675,20
730,KICH,MSMI-Marginal,100,5,0.967741935483871,7.000000000000001
1095,KICH,MSMI-Marginal,100,5,0.9568788501026694,2.6
1460,KICH,MSMI-Marginal,100,5,0.9325153374233128,2.1999999999999997
1825,KICH,MSMI-Marginal,100,5,0.9208333333333333,4
365,KICH,AJ,100,5,0.9501246882793017,19.8
730,KICH,AJ,100,5,0.9588744588744589,7.6
1095,KICH,AJ,100,5,0.9425051334702259,2.6
1460,KICH,AJ,100,5,0.9205702647657841,1.7999999999999998
1825,KICH,AJ,100,5,0.9222903885480572,2.1999999999999997
