time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,PRAD,50,5,0.05825242718446602,79.4
730,MSMI-Cox,PRAD,50,5,0.446875,36
1095,MSMI-Cox,PRAD,50,5,0.29055690072639223,17.4
1460,MSMI-Cox,PRAD,50,5,0.22453703703703703,13.600000000000001
1825,MSMI-Cox,PRAD,50,5,0.23255813953488372,14.000000000000002
365,MSMI-Marginal,PRAD,50,5,0.05825242718446602,79.4
730,MSMI-Marginal,PRAD,50,5,0.446875,36
1095,MSMI-Marginal,PRAD,50,5,0.29055690072639223,17.4
1460,MSMI-Marginal,PRAD,50,5,0.22453703703703703,13.600000000000001
1825,MSMI-Marginal,PRAD,50,5,0.23255813953488372,14.000000000000002
365,AJ,PRAD,50,5,0,92.80000000000001
730,AJ,PRAD,50,5,0.768,75
1095,AJ,PRAD,50,5,0.9121951219512195,59
1460,AJ,PRAD,50,5,0.9227467811158798,53.400000000000006
1825,AJ,PRAD,50,5,0.9409448818897638,49.2
