time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,LIHC,300,10,0.958,0
730,MSMI-Cox,LIHC,300,10,0.95,0
1095,MSMI-Cox,LIHC,300,10,0.942,0
1460,MSMI-Cox,LIHC,300,10,0.926,0
1825,MSMI-Cox,LIHC,300,10,0.844,0
365,MSMI-Marginal,LIHC,300,10,0.962,0
730,MSMI-Marginal,LIHC,300,10,0.95,0
1095,MSMI-Marginal,LIHC,300,10,0.948,0
1460,MSMI-Marginal,LIHC,300,10,0.924,0
1825,MSMI-Marginal,LIHC,300,10,0.85,0
365,AJ,LIHC,300,10,0.96,0
730,AJ,LIHC,300,10,0.948,0
1095,AJ,LIHC,300,10,0.954,0
1460,AJ,LIHC,300,10,0.956,0
1825,AJ,LIHC,300,10,0.942,0
