time,simulation,state,bias,estimate,method,truth
365,1,1,0.009569936170212845,0.9591489361702128,Aalen-Johansen,0.949579
365,1,2,-0.0020669361702128144,0.03085106382978719,Aalen-Johansen,0.032918
365,1,3,-0.00750300000000001,0.009999999999999992,Aalen-Johansen,0.017503
730,1,1,0.027203555431130955,0.9465285554311309,Aalen-Johansen,0.919325
730,1,2,7.574445688690243e-4,0.043471444568869026,Aalen-Johansen,0.042714
730,1,3,-0.02796100000000001,0.009999999999999992,Aalen-Johansen,0.037961
1095,1,1,0.0014637186369811372,0.8906147186369812,Aalen-Johansen,0.889151
1095,1,2,8.78410046417033e-4,0.04986641004641703,Aalen-Johansen,0.048988
1095,1,3,-0.0023421286833984756,0.059518871316601524,Aalen-Johansen,0.061861
1460,1,1,0.024153718636981125,0.8906147186369812,Aalen-Johansen,0.866461
1460,1,2,-0.017439192465187228,0.03739980753481277,Aalen-Johansen,0.054839
1460,1,3,-0.006714526171794216,0.07198547382820578,Aalen-Johansen,0.07869999999999999
1825,1,1,0.013782728868363514,0.8582287288683635,Aalen-Johansen,0.844446
1825,1,2,-0.02623273764265071,0.034057262357349294,Aalen-Johansen,0.06029
1825,1,3,0.012450008774286814,0.10771400877428682,Aalen-Johansen,0.095264
365,2,1,0.029999947368421154,0.9795789473684211,Aalen-Johansen,0.949579
365,2,2,-0.022496947368421075,0.010421052631578926,Aalen-Johansen,0.032918
365,2,3,-0.007503000000000055,0.009999999999999946,Aalen-Johansen,0.017503
730,2,1,0.037261052631579084,0.956586052631579,Aalen-Johansen,0.919325
730,2,2,-0.009300052631578973,0.03341394736842103,Aalen-Johansen,0.042714
730,2,3,-0.027961000000000055,0.009999999999999946,Aalen-Johansen,0.037961
1095,2,1,0.01240018243275931,0.9015511824327593,Aalen-Johansen,0.889151
1095,2,2,0.0014781771991636342,0.05046617719916363,Aalen-Johansen,0.048988
1095,2,3,-0.013878359631922993,0.047982640368077006,Aalen-Johansen,0.061861
1460,2,1,0.0047794099199336415,0.8712404099199337,Aalen-Johansen,0.866461
1460,2,2,7.0486111240739e-4,0.05554386111240739,Aalen-Johansen,0.054839
1460,2,3,-0.00548427103234117,0.07321572896765882,Aalen-Johansen,0.07869999999999999
1825,2,1,-0.025569144128962606,0.8188768558710374,Aalen-Johansen,0.844446
1825,2,2,0.006325267733770908,0.06661526773377091,Aalen-Johansen,0.06029
1825,2,3,0.019243876395191623,0.11450787639519162,Aalen-Johansen,0.095264
365,3,1,0.01945972282608699,0.9690387228260869,Aalen-Johansen,0.949579
365,3,2,-0.011956722826086917,0.020961277173913086,Aalen-Johansen,0.032918
365,3,3,-0.007503000000000055,0.009999999999999946,Aalen-Johansen,0.017503
730,3,1,-0.007405915174870992,0.911919084825129,Aalen-Johansen,0.919325
730,3,2,0.024212498721318185,0.06692649872131819,Aalen-Johansen,0.042714
730,3,3,-0.01680658354644702,0.021154416453552982,Aalen-Johansen,0.037961
1095,3,1,0.010444853949113653,0.8995958539491137,Aalen-Johansen,0.889151
1095,3,2,-0.015524750639340903,0.03346324936065909,Aalen-Johansen,0.048988
1095,3,3,0.005079896690227348,0.06694089669022735,Aalen-Johansen,0.061861
1460,3,1,0.019708050158828372,0.8861690501588284,Aalen-Johansen,0.866461
1460,3,2,-0.01967146013679176,0.03516753986320824,Aalen-Johansen,0.054839
1460,3,3,-3.6590022036570025e-5,0.07866340997796342,Aalen-Johansen,0.07869999999999999
1825,3,1,0.010074155510298777,0.8545201555102988,Aalen-Johansen,0.844446
1825,3,2,-0.009298012812526929,0.050991987187473074,Aalen-Johansen,0.06029
1825,3,3,-7.761426977717645e-4,0.09448785730222824,Aalen-Johansen,0.095264
365,4,1,-3.9970707070713374e-4,0.9491792929292928,Aalen-Johansen,0.949579
365,4,2,0.007696478114478107,0.04061447811447811,Aalen-Johansen,0.032918
365,4,3,-0.007296771043771067,0.010206228956228934,Aalen-Johansen,0.017503
730,4,1,-0.006439771255074889,0.9128852287449251,Aalen-Johansen,0.919325
730,4,2,0.008564673220545632,0.051278673220545634,Aalen-Johansen,0.042714
730,4,3,-0.002124901965470917,0.035836098034529085,Aalen-Johansen,0.037961
1095,4,1,-0.0043545475241495435,0.8847964524758505,Aalen-Johansen,0.889151
1095,4,2,0.016335061355082885,0.06532306135508288,Aalen-Johansen,0.048988
1095,4,3,-0.011980513830933563,0.049880486169066436,Aalen-Johansen,0.061861
1460,4,1,0.0016411797876269008,0.8681021797876269,Aalen-Johansen,0.866461
1460,4,2,-0.030161098317117482,0.024677901682882517,Aalen-Johansen,0.054839
1460,4,3,0.028519918529490387,0.10721991852949038,Aalen-Johansen,0.07869999999999999
1825,4,1,-0.06363089594932236,0.7808151040506777,Aalen-Johansen,0.844446
1825,4,2,0.03430598622760248,0.09459598622760249,Aalen-Johansen,0.06029
1825,4,3,0.029324909721719736,0.12458890972171974,Aalen-Johansen,0.095264
365,5,1,-0.005066317302381496,0.9445126826976185,Aalen-Johansen,0.949579
365,5,2,8.092009529538785e-5,0.03299892009529539,Aalen-Johansen,0.032918
365,5,3,0.004985397207086167,0.022488397207086168,Aalen-Johansen,0.017503
730,5,1,-3.396871050197481e-4,0.9189853128949802,Aalen-Johansen,0.919325
730,5,2,-0.020714719936469738,0.021999280063530264,Aalen-Johansen,0.042714
730,5,3,0.021054407041489573,0.059015407041489575,Aalen-Johansen,0.037961
1095,5,1,-0.011872375796654233,0.8772786242033458,Aalen-Johansen,0.889151
1095,5,2,0.001774513643967801,0.0507625136439678,Aalen-Johansen,0.048988
1095,5,3,0.010097862152686501,0.0719588621526865,Aalen-Johansen,0.061861
1460,5,1,0.010817624203345755,0.8772786242033458,Aalen-Johansen,0.866461
1460,5,2,-0.016767114767024152,0.03807188523297585,Aalen-Johansen,0.054839
1460,5,3,0.005949490563678453,0.08464949056367845,Aalen-Johansen,0.07869999999999999
1825,5,1,0.03283262420334576,0.8772786242033458,Aalen-Johansen,0.844446
1825,5,2,-0.03490874317801611,0.0253812568219839,Aalen-Johansen,0.06029
1825,5,3,0.002076118974670388,0.09734011897467039,Aalen-Johansen,0.095264
365,6,1,-0.03607245198105735,0.9135065480189426,Aalen-Johansen,0.949579
365,6,2,0.04336693565841074,0.07628493565841074,Aalen-Johansen,0.032918
365,6,3,-0.007294483677353249,0.010208516322646752,Aalen-Johansen,0.017503
730,6,1,-0.018332240310083958,0.900992759689916,Aalen-Johansen,0.919325
730,6,2,0.0016853619937186592,0.04439936199371866,Aalen-Johansen,0.042714
730,6,3,0.016646878316365396,0.0546078783163654,Aalen-Johansen,0.037961
1095,6,1,-0.03743370640510846,0.8517172935948916,Aalen-Johansen,0.889151
1095,6,2,-0.005287568196516573,0.043700431803483424,Aalen-Johansen,0.048988
1095,6,3,0.04272127460162495,0.10458227460162495,Aalen-Johansen,0.061861
1460,6,1,-0.05490991968259484,0.8115510803174052,Aalen-Johansen,0.866461
1460,6,2,0.029027645080969833,0.08386664508096983,Aalen-Johansen,0.054839
1460,6,3,0.025882274601624955,0.10458227460162495,Aalen-Johansen,0.07869999999999999
1825,6,1,-0.032894919682594836,0.8115510803174052,Aalen-Johansen,0.844446
1825,6,2,0.02357664508096983,0.08386664508096983,Aalen-Johansen,0.06029
1825,6,3,0.009318274601624946,0.10458227460162495,Aalen-Johansen,0.095264
365,7,1,-0.012703329815452413,0.9368756701845475,Aalen-Johansen,0.949579
365,7,2,-0.0013413026694508515,0.03157669733054915,Aalen-Johansen,0.032918
365,7,3,0.01404463248490324,0.03154763248490324,Aalen-Johansen,0.017503
730,7,1,0.004166732039054155,0.9234917320390541,Aalen-Johansen,0.919325
730,7,2,-0.01113730266945085,0.03157669733054915,Aalen-Johansen,0.042714
730,7,3,0.006970570630396772,0.044931570630396774,Aalen-Johansen,0.037961
1095,7,1,-0.014324009464390719,0.8748269905356093,Aalen-Johansen,0.889151
1095,7,2,0.010202307280294427,0.059190307280294424,Aalen-Johansen,0.048988
1095,7,3,0.004121702184096215,0.06598270218409621,Aalen-Johansen,0.061861
1460,7,1,0.008365990535609269,0.8748269905356093,Aalen-Johansen,0.866461
1460,7,2,0.004351307280294425,0.059190307280294424,Aalen-Johansen,0.054839
1460,7,3,-0.012717297815903778,0.06598270218409621,Aalen-Johansen,0.07869999999999999
1825,7,1,-0.015341674474962708,0.8291043255250373,Aalen-Johansen,0.844446
1825,7,2,0.04462297229086635,0.10491297229086635,Aalen-Johansen,0.06029
1825,7,3,-0.029281297815903787,0.06598270218409621,Aalen-Johansen,0.095264
365,8,1,-0.011211653061224514,0.9383673469387754,Aalen-Johansen,0.949579
365,8,2,0.018051387755102066,0.05096938775510207,Aalen-Johansen,0.032918
365,8,3,-0.0068397346938775215,0.01066326530612248,Aalen-Johansen,0.017503
730,8,1,0.005442820171546958,0.9247678201715469,Aalen-Johansen,0.919325
730,8,2,-0.022326244897959174,0.020387755102040828,Aalen-Johansen,0.042714
730,8,3,0.016883424726412286,0.05484442472641229,Aalen-Johansen,0.037961
1095,8,1,0.03561682017154688,0.9247678201715469,Aalen-Johansen,0.889151
