time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,PRAD,50,30,0.020202020202020204,80.2
730,MSMI-Cox,PRAD,50,30,0.45714285714285713,37
1095,MSMI-Cox,PRAD,50,30,0.2687651331719128,17.4
1460,MSMI-Cox,PRAD,50,30,0.22505800464037123,13.8
1825,MSMI-Cox,PRAD,50,30,0.2331002331002331,14.2
365,MSMI-Marginal,PRAD,50,30,0.020202020202020204,80.2
730,MSMI-Marginal,PRAD,50,30,0.45714285714285713,37
1095,MSMI-Marginal,PRAD,50,30,0.2687651331719128,17.4
1460,MSMI-Marginal,PRAD,50,30,0.22505800464037123,13.8
1825,MSMI-Marginal,PRAD,50,30,0.2331002331002331,14.2
365,AJ,PRAD,50,30,0,92.80000000000001
730,AJ,PRAD,50,30,0.768,75
1095,AJ,PRAD,50,30,0.9121951219512195,59
1460,AJ,PRAD,50,30,0.9227467811158798,53.400000000000006
1825,AJ,PRAD,50,30,0.9409448818897638,49.2
