time,simulation,state,bias,estimate,method,truth
365,1,1,-0.010004531914893477,0.9395744680851065,Aalen-Johansen,0.949579
365,1,2,0.007507531914893589,0.04042553191489359,Aalen-Johansen,0.032918
365,1,3,0.00249700000000002,0.02000000000000002,Aalen-Johansen,0.017503
730,1,1,-0.005849822695035312,0.9134751773049646,Aalen-Johansen,0.919325
730,1,2,-0.022501234042553206,0.020212765957446796,Aalen-Johansen,0.042714
730,1,3,0.028351056737588663,0.06631205673758866,Aalen-Johansen,0.037961
1095,1,1,0.02432417730496461,0.9134751773049646,Aalen-Johansen,0.889151
1095,1,2,-0.0287752340425532,0.020212765957446796,Aalen-Johansen,0.048988
1095,1,3,0.004451056737588666,0.06631205673758866,Aalen-Johansen,0.061861
1460,1,1,0.018468078014184486,0.8849290780141845,Aalen-Johansen,0.866461
1460,1,2,-0.006080134751773041,0.04875886524822696,Aalen-Johansen,0.054839
1460,1,3,-0.012387943262411327,0.06631205673758866,Aalen-Johansen,0.07869999999999999
1825,1,1,0.008878468085106506,0.8533244680851065,Aalen-Johansen,0.844446
1825,1,2,0.020073475177304963,0.08036347517730497,Aalen-Johansen,0.06029
1825,1,3,-0.028951943262411337,0.06631205673758866,Aalen-Johansen,0.095264
365,2,1,0.02958766666666668,0.9791666666666666,Aalen-Johansen,0.949579
365,2,2,-0.012084666666666615,0.020833333333333388,Aalen-Johansen,0.032918
365,2,3,-0.017503,0,Aalen-Johansen,0.017503
730,2,1,0.011465077131540546,0.9307900771315405,Aalen-Johansen,0.919325
730,2,2,0.02649592286845949,0.06920992286845949,Aalen-Johansen,0.042714
730,2,3,-0.037961,0,Aalen-Johansen,0.037961
1095,2,1,-0.011548927275976006,0.877602072724024,Aalen-Johansen,0.889151
1095,2,2,0.07340992727597606,0.12239792727597605,Aalen-Johansen,0.048988
1095,2,3,-0.061861,0,Aalen-Johansen,0.061861
1460,2,1,0.011141072724023982,0.877602072724024,Aalen-Johansen,0.866461
1460,2,2,0.01859975636558564,0.07343875636558564,Aalen-Johansen,0.054839
1460,2,3,-0.029740829089609573,0.04895917091039042,Aalen-Johansen,0.07869999999999999
1825,2,1,-0.035758192602061256,0.8086878073979388,Aalen-Johansen,0.844446
1825,2,2,0.028466680571877546,0.08875668057187755,Aalen-Johansen,0.06029
1825,2,3,0.007291512030183675,0.10255551203018368,Aalen-Johansen,0.095264
365,3,1,0.030012836734693904,0.9795918367346939,Aalen-Johansen,0.949579
365,3,2,-0.012509836734693858,0.020408163265306145,Aalen-Johansen,0.032918
365,3,3,-0.017503,0,Aalen-Johansen,0.017503
730,3,1,-0.009875296005795176,0.9094497039942048,Aalen-Johansen,0.919325
730,3,2,0.04783629600579517,0.09055029600579517,Aalen-Johansen,0.042714
730,3,3,-0.037961,0,Aalen-Johansen,0.037961
1095,3,1,-0.00496378778341211,0.8841872122165879,Aalen-Johansen,0.889151
1095,3,2,-0.0263504259985512,0.022637574001448797,Aalen-Johansen,0.048988
1095,3,3,0.031314213781963224,0.09317521378196322,Aalen-Johansen,0.061861
1460,3,1,-0.015021462309952494,0.8514395376900475,Aalen-Johansen,0.866461
1460,3,2,5.462485279891516e-4,0.05538524852798915,Aalen-Johansen,0.054839
1460,3,3,0.014475213781963231,0.09317521378196322,Aalen-Johansen,0.07869999999999999
1825,3,1,0.006993537690047513,0.8514395376900475,Aalen-Johansen,0.844446
1825,3,2,-0.004904751472010853,0.05538524852798915,Aalen-Johansen,0.06029
1825,3,3,-0.0020887862180367783,0.09317521378196322,Aalen-Johansen,0.095264
365,4,1,-0.015023626295690096,0.9345553737043099,Aalen-Johansen,0.949579
365,4,2,0.007933063829787201,0.040851063829787204,Aalen-Johansen,0.032918
365,4,3,0.007090562465902922,0.024593562465902923,Aalen-Johansen,0.017503
730,4,1,-0.011471208401527488,0.9078537915984725,Aalen-Johansen,0.919325
730,4,2,0.00441311402073101,0.04712711402073101,Aalen-Johansen,0.042714
730,4,3,0.007058094380796527,0.04501909438079653,Aalen-Johansen,0.037961
1095,4,1,0.018702791598472435,0.9078537915984725,Aalen-Johansen,0.889151
1095,4,2,-0.001860885979268985,0.04712711402073101,Aalen-Johansen,0.048988
1095,4,3,-0.01684190561920347,0.04501909438079653,Aalen-Johansen,0.061861
1460,4,1,0.005078639934533502,0.8715396399345335,Aalen-Johansen,0.866461
1460,4,2,0.028602265684670003,0.08344126568467,Aalen-Johansen,0.054839
1460,4,3,-0.03368090561920346,0.04501909438079653,Aalen-Johansen,0.07869999999999999
1825,4,1,-0.04869241571194771,0.7957535842880523,Aalen-Johansen,0.844446
1825,4,2,0.0458615475541008,0.1061515475541008,Aalen-Johansen,0.06029
1825,4,3,0.0028308681578469164,0.09809486815784692,Aalen-Johansen,0.095264
365,5,1,0.00491835449735456,0.9544973544973545,Aalen-Johansen,0.949579
365,5,2,0.012584645502645458,0.04550264550264546,Aalen-Johansen,0.032918
365,5,3,-0.017503,0,Aalen-Johansen,0.017503
730,5,1,0.03517235449735456,0.9544973544973545,Aalen-Johansen,0.919325
730,5,2,0.0027886455026454593,0.04550264550264546,Aalen-Johansen,0.042714
730,5,3,-0.037961,0,Aalen-Johansen,0.037961
1095,5,1,0.008592457743457738,0.8977434577434578,Aalen-Johansen,0.889151
1095,5,2,0.0019848776395442955,0.05097287763954429,Aalen-Johansen,0.048988
1095,5,3,-0.010577335383002096,0.051283664616997904,Aalen-Johansen,0.061861
1460,5,1,0.031282457743457726,0.8977434577434578,Aalen-Johansen,0.866461
1460,5,2,-0.0038661223604557066,0.05097287763954429,Aalen-Johansen,0.054839
1460,5,3,-0.02741633538300209,0.051283664616997904,Aalen-Johansen,0.07869999999999999
1825,5,1,0.05329745774345773,0.8977434577434578,Aalen-Johansen,0.844446
1825,5,2,-0.03480356118022786,0.025486438819772146,Aalen-Johansen,0.06029
1825,5,3,-0.01849389656322996,0.07677010343677004,Aalen-Johansen,0.095264
365,6,1,-0.0313584970986458,0.9182205029013542,Aalen-Johansen,0.949579
365,6,2,0.027507531914893572,0.060425531914893575,Aalen-Johansen,0.032918
365,6,3,0.0038509651837523827,0.021353965183752384,Aalen-Johansen,0.017503
730,6,1,-0.023500119120630103,0.8958248808793698,Aalen-Johansen,0.919325
730,6,2,0.01250010262458523,0.05521410262458523,Aalen-Johansen,0.042714
730,6,3,0.011000016496044991,0.04896101649604499,Aalen-Johansen,0.037961
1095,6,1,-0.09994821284042188,0.7892027871595781,Aalen-Johansen,0.889151
1095,6,2,-0.0077578053379289205,0.041230194662071076,Aalen-Johansen,0.048988
1095,6,3,0.10770601817835077,0.16956701817835076,Aalen-Johansen,0.061861
1460,6,1,-0.10761216619271341,0.7588488338072866,Aalen-Johansen,0.866461
1460,6,2,0.016745148014362568,0.07158414801436257,Aalen-Johansen,0.054839
1460,6,3,0.09086701817835077,0.16956701817835076,Aalen-Johansen,0.07869999999999999
1825,6,1,-0.0855971661927134,0.7588488338072866,Aalen-Johansen,0.844446
1825,6,2,-0.06029,0,Aalen-Johansen,0.06029
1825,6,3,0.1458871661927133,0.24115116619271332,Aalen-Johansen,0.095264
365,7,1,-0.01254196296296306,0.9370370370370369,Aalen-Johansen,0.949579
365,7,2,0.030044962962963023,0.06296296296296303,Aalen-Johansen,0.032918
365,7,3,-0.017503,0,Aalen-Johansen,0.017503
730,7,1,-0.006946832358674548,0.9123781676413254,Aalen-Johansen,0.919325
730,7,2,0.020248962962963024,0.06296296296296303,Aalen-Johansen,0.042714
730,7,3,-0.013302130604288514,0.024658869395711488,Aalen-Johansen,0.037961
1095,7,1,0.023227167641325375,0.9123781676413254,Aalen-Johansen,0.889151
1095,7,2,-0.017506518518518484,0.03148148148148151,Aalen-Johansen,0.048988
1095,7,3,-0.005720649122806995,0.056140350877193004,Aalen-Johansen,0.061861
1460,7,1,0.04591716764132536,0.9123781676413254,Aalen-Johansen,0.866461
1460,7,2,-0.023357518518518486,0.03148148148148151,Aalen-Johansen,0.054839
1460,7,3,-0.022559649122806988,0.056140350877193004,Aalen-Johansen,0.07869999999999999
1825,7,1,0.026460432748538043,0.8709064327485381,Aalen-Johansen,0.844446
1825,7,2,0.012663216374268933,0.07295321637426894,Aalen-Johansen,0.06029
1825,7,3,-0.039123649122807,0.056140350877193004,Aalen-Johansen,0.095264
365,8,1,-0.011281127659574453,0.9382978723404255,Aalen-Johansen,0.949579
365,8,2,-0.012066936170212733,0.02085106382978727,Aalen-Johansen,0.032918
365,8,3,0.02334806382978723,0.04085106382978723,Aalen-Johansen,0.017503
730,8,1,-0.03464414893617018,0.8846808510638298,Aalen-Johansen,0.919325
730,8,2,-0.01590548936170222,0.026808510638297783,Aalen-Johansen,0.042714
730,8,3,0.05054963829787234,0.08851063829787234,Aalen-Johansen,0.037961
1095,8,1,-0.034976385179750547,0.8541746148202495,Aalen-Johansen,0.889151
1095,8,2,-0.022179489361702213,0.026808510638297783,Aalen-Johansen,0.048988
