time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,MESO,100,30,0.972,0
730,MSMI-Cox,MESO,100,30,0.958,0
1095,MSMI-Cox,MESO,100,30,0.964,0
1460,MSMI-Cox,MESO,100,30,0.9621848739495799,4.8
1825,MSMI-Cox,MESO,100,30,0.9450867052023122,30.8
365,MSMI-Marginal,MESO,100,30,0.972,0
730,MSMI-Marginal,MESO,100,30,0.958,0
1095,MSMI-Marginal,MESO,100,30,0.968,0
1460,MSMI-Marginal,MESO,100,30,0.9663865546218487,4.8
1825,MSMI-Marginal,MESO,100,30,0.9450867052023122,30.8
365,AJ,MESO,100,30,0.97,0
730,AJ,MESO,100,30,0.954,0
1095,AJ,MESO,100,30,0.944,0
1460,AJ,MESO,100,30,0.9456066945606695,4.3999999999999995
1825,AJ,MESO,100,30,0.8868421052631579,24
