time,AJ,MSMI-KM-Goodman,MSMI-KM-trWald,MSMI-Cox-Goodman,MSMI-Cox-trWald,MSMI-KM-Boot-Goodman,MSMI-KM-Boot-trWald,MSMI-Cox-Boot-Goodman,MSMI-Cox-Boot-trWald
365,0.948,0.956,0.962,0.956,0.954,0.96,0.962,0.958,0.966
730,0.952,0.954,0.96,0.95,0.96,0.956,0.966,0.954,0.96
1095,0.944,0.942,0.94,0.942,0.94,0.95,0.962,0.952,0.962
1460,0.898,0.872,0.884,0.874,0.88,0.91,0.928,0.906,0.926
1825,0.852,0.76,0.776,0.756,0.772,0.81,0.816,0.81,0.804
