time,AJ,MSMI-KM-Goodman,MSMI-KM-trWald,MSMI-Cox-Goodman,MSMI-Cox-trWald,MSMI-KM-Boot-Goodman,MSMI-KM-Boot-trWald,MSMI-Cox-Boot-Goodman,MSMI-Cox-Boot-trWald
365,0.962,0.968,0.972,0.97,0.97,0.976,0.976,0.97,0.972
730,0.926,0.96,0.948,0.962,0.95,0.946,0.938,0.948,0.942
1095,0.93,0.932,0.916,0.932,0.92,0.944,0.928,0.938,0.924
1460,0.93,0.92,0.902,0.914,0.902,0.936,0.918,0.932,0.926
1825,0.924,0.866,0.842,0.86,0.834,0.924,0.894,0.912,0.888
