time,AJ,MSMI-KM-Goodman,MSMI-KM-trWald,MSMI-Cox-Goodman,MSMI-Cox-trWald,MSMI-KM-Boot-Goodman,MSMI-KM-Boot-trWald,MSMI-Cox-Boot-Goodman,MSMI-Cox-Boot-trWald
365,0.96,0.966,0.97,0.972,0.964,0.974,0.968,0.97,0.97
730,0.938,0.964,0.954,0.956,0.946,0.954,0.952,0.95,0.948
1095,0.942,0.922,0.92,0.93,0.922,0.946,0.944,0.938,0.938
1460,0.902,0.832,0.818,0.904,0.884,0.904,0.874,0.936,0.904
1825,0.78,0.712,0.686,0.786,0.688,0.842,0.75,0.864,0.726
