time,AJ,MSMI-KM-Goodman,MSMI-KM-trWald,MSMI-Cox-Goodman,MSMI-Cox-trWald,MSMI-KM-Boot-Goodman,MSMI-KM-Boot-trWald,MSMI-Cox-Boot-Goodman,MSMI-Cox-Boot-trWald
365,0.96,0.972,0.966,0.968,0.962,0.97,0.968,0.972,0.974
730,0.938,0.964,0.954,0.964,0.95,0.952,0.948,0.942,0.94
1095,0.942,0.932,0.924,0.928,0.918,0.946,0.94,0.942,0.938
1460,0.902,0.844,0.808,0.89,0.874,0.894,0.86,0.93,0.902
1825,0.78,0.724,0.678,0.788,0.684,0.824,0.724,0.822,0.722
