time,AJ,MSMI-KM-Goodman,MSMI-KM-trWald,MSMI-Cox-Goodman,MSMI-Cox-trWald,MSMI-KM-Boot-Goodman,MSMI-KM-Boot-trWald,MSMI-Cox-Boot-Goodman,MSMI-Cox-Boot-trWald
365,0.96,0.974,0.972,0.968,0.966,0.972,0.968,0.968,0.966
730,0.938,0.956,0.954,0.95,0.944,0.958,0.958,0.948,0.942
1095,0.942,0.922,0.928,0.922,0.92,0.946,0.952,0.938,0.944
1460,0.902,0.824,0.814,0.898,0.878,0.902,0.88,0.932,0.91
1825,0.78,0.702,0.63,0.814,0.674,0.822,0.694,0.906,0.724
