time,AJ,MSMI-KM-Goodman,MSMI-KM-trWald,MSMI-Cox-Goodman,MSMI-Cox-trWald,MSMI-KM-Boot-Goodman,MSMI-KM-Boot-trWald,MSMI-Cox-Boot-Goodman,MSMI-Cox-Boot-trWald
365,0.96,0.972,0.97,0.968,0.966,0.974,0.968,0.972,0.968
730,0.938,0.954,0.952,0.954,0.944,0.954,0.956,0.95,0.946
1095,0.942,0.922,0.924,0.92,0.928,0.95,0.954,0.946,0.946
1460,0.902,0.834,0.824,0.896,0.888,0.906,0.9,0.932,0.916
1825,0.78,0.714,0.648,0.804,0.682,0.814,0.714,0.88,0.724
