time,AJ,MSMI-KM-Goodman,MSMI-KM-trWald,MSMI-Cox-Goodman,MSMI-Cox-trWald,MSMI-KM-Boot-Goodman,MSMI-KM-Boot-trWald,MSMI-Cox-Boot-Goodman,MSMI-Cox-Boot-trWald
365,0.96,0.974,0.97,0.97,0.966,0.972,0.972,0.966,0.968
730,0.938,0.956,0.954,0.948,0.938,0.962,0.958,0.952,0.944
1095,0.942,0.92,0.92,0.922,0.918,0.956,0.952,0.944,0.952
1460,0.902,0.83,0.814,0.902,0.88,0.912,0.904,0.934,0.91
1825,0.78,0.706,0.632,0.804,0.682,0.826,0.71,0.884,0.722
