time,AJ,MSMI-KM-Goodman,MSMI-KM-trWald,MSMI-Cox-Goodman,MSMI-Cox-trWald,MSMI-KM-Boot-Goodman,MSMI-KM-Boot-trWald,MSMI-Cox-Boot-Goodman,MSMI-Cox-Boot-trWald
365,0.962,0.968,0.968,0.968,0.968,0.966,0.966,0.97,0.97
730,0.926,0.946,0.948,0.948,0.938,0.954,0.944,0.95,0.946
1095,0.93,0.922,0.918,0.922,0.916,0.954,0.944,0.94,0.938
1460,0.93,0.91,0.906,0.908,0.914,0.942,0.948,0.93,0.926
1825,0.924,0.842,0.848,0.844,0.85,0.93,0.932,0.91,0.906
