time,method,1,2,3
365,AJ,0.0011372253873980986,-0.0013598859567091077,2.2266056931098677e-4
365,MSMI-Cox,0.0011060000000000284,-0.0013230000000000203,2.169999999999916e-4
365,MSMI-Cox-Boot,0.0011233333333333755,-0.0011963333333333535,7.299999999998996e-5
365,MSMI-KM,0.0011060000000000284,-0.0047510000000000234,0.003644999999999988
365,MSMI-KM-Boot,0.0011233333333333755,-0.004763000000000021,0.0036396666666666526
730,AJ,0.001159149125467717,-5.540491583839246e-4,-6.050999670838015e-4
730,MSMI-Cox,0.0013360000000000056,-1.4333333333334407e-4,-0.001192666666666658
730,MSMI-Cox-Boot,0.001381333333333341,-1.1733333333334339e-4,-0.001263999999999991
730,MSMI-KM,0.0013360000000000056,-0.004453333333333344,0.003117333333333342
730,MSMI-KM-Boot,0.001381333333333341,-0.004344666666666677,0.002963333333333334
1095,AJ,-0.001345928468091904,-0.004765957795513864,0.006111886263605747
1095,MSMI-Cox,-0.0012433333333333435,-0.0015329999999999892,0.0027763333333333425
1095,MSMI-Cox-Boot,-0.001469333333333348,-9.796666666666576e-4,0.0024489999999999994
1095,MSMI-KM,-0.0012433333333333435,0.011558333333333344,-0.010315
1095,MSMI-KM-Boot,-0.001469333333333348,0.011733666666666677,-0.010264333333333327
1460,AJ,-0.00239895823629421,-0.004373315837272471,0.00677227407356666
1460,MSMI-Cox,-0.0022799999999999748,-0.0010890000000000003,0.0033689999999999953
1460,MSMI-Cox-Boot,-0.0026573333333333084,-8.556666666666661e-4,0.003512999999999978
1460,MSMI-KM,-0.0022799999999999748,0.03143633333333334,-0.029156333333333364
1460,MSMI-KM-Boot,-0.0026573333333333084,0.03227633333333333,-0.029619000000000006
1825,AJ,0.0020975406781766465,-0.004990261682636951,0.0028927210044602486
1825,MSMI-Cox,9.256666666666638e-4,-0.004651999999999999,0.0037263333333333354
1825,MSMI-Cox-Boot,0.0011650000000000009,-0.0044833333333333305,0.0033183333333333177
1825,MSMI-KM,9.256666666666638e-4,0.03653000000000001,-0.03745566666666669
1825,MSMI-KM-Boot,0.0011650000000000009,0.03722266666666667,-0.03838766666666668
