time,AJ,MSMI-KM-Goodman,MSMI-KM-trWald,MSMI-Cox-Goodman,MSMI-Cox-trWald,MSMI-KM-Boot-Goodman,MSMI-KM-Boot-trWald,MSMI-Cox-Boot-Goodman,MSMI-Cox-Boot-trWald
365,0.962,0.968,0.966,0.968,0.968,0.968,0.972,0.968,0.97
730,0.926,0.944,0.948,0.948,0.944,0.952,0.95,0.944,0.944
1095,0.93,0.914,0.914,0.922,0.912,0.948,0.948,0.936,0.938
1460,0.93,0.906,0.906,0.906,0.912,0.938,0.946,0.928,0.93
1825,0.924,0.848,0.852,0.846,0.852,0.942,0.934,0.906,0.906
