time,AJ,MSMI-KM-Goodman,MSMI-KM-trWald,MSMI-Cox-Goodman,MSMI-Cox-trWald,MSMI-KM-Boot-Goodman,MSMI-KM-Boot-trWald,MSMI-Cox-Boot-Goodman,MSMI-Cox-Boot-trWald
365,0.96,0.974,0.968,0.97,0.966,0.972,0.974,0.972,0.97
730,0.938,0.954,0.952,0.952,0.944,0.958,0.958,0.952,0.952
1095,0.942,0.93,0.93,0.93,0.922,0.944,0.948,0.938,0.942
1460,0.902,0.828,0.82,0.898,0.882,0.894,0.888,0.916,0.904
1825,0.78,0.716,0.678,0.802,0.68,0.818,0.726,0.866,0.714
