time,AJ,MSMI-KM-Goodman,MSMI-KM-trWald,MSMI-Cox-Goodman,MSMI-Cox-trWald,MSMI-KM-Boot-Goodman,MSMI-KM-Boot-trWald,MSMI-Cox-Boot-Goodman,MSMI-Cox-Boot-trWald
365,0.962,0.968,0.97,0.964,0.974,0.972,0.972,0.968,0.972
730,0.926,0.952,0.944,0.948,0.942,0.938,0.944,0.95,0.948
1095,0.93,0.942,0.926,0.936,0.92,0.944,0.938,0.94,0.93
1460,0.93,0.912,0.908,0.898,0.91,0.948,0.944,0.936,0.934
1825,0.924,0.868,0.86,0.864,0.856,0.938,0.926,0.918,0.908
