time,AJ,MSMI-KM-Goodman,MSMI-KM-trWald,MSMI-Cox-Goodman,MSMI-Cox-trWald,MSMI-KM-Boot-Goodman,MSMI-KM-Boot-trWald,MSMI-Cox-Boot-Goodman,MSMI-Cox-Boot-trWald
365,0.962,0.968,0.968,0.968,0.966,0.968,0.968,0.97,0.966
730,0.926,0.944,0.946,0.944,0.94,0.95,0.95,0.952,0.946
1095,0.93,0.916,0.916,0.92,0.92,0.942,0.946,0.936,0.938
1460,0.93,0.902,0.904,0.904,0.904,0.95,0.952,0.926,0.932
1825,0.924,0.85,0.86,0.838,0.848,0.942,0.932,0.908,0.906
