time,AJ,MSMI-KM-Goodman,MSMI-KM-trWald,MSMI-Cox-Goodman,MSMI-Cox-trWald,MSMI-KM-Boot-Goodman,MSMI-KM-Boot-trWald,MSMI-Cox-Boot-Goodman,MSMI-Cox-Boot-trWald
365,0.962,0.968,0.968,0.966,0.966,0.97,0.972,0.97,0.972
730,0.926,0.95,0.946,0.948,0.942,0.95,0.944,0.948,0.944
1095,0.93,0.924,0.916,0.926,0.916,0.942,0.934,0.944,0.934
1460,0.93,0.912,0.912,0.914,0.914,0.942,0.942,0.93,0.93
1825,0.924,0.86,0.854,0.854,0.854,0.938,0.932,0.908,0.9
