time,AJ,MSMI-KM-Goodman,MSMI-KM-trWald,MSMI-Cox-Goodman,MSMI-Cox-trWald,MSMI-KM-Boot-Goodman,MSMI-KM-Boot-trWald,MSMI-Cox-Boot-Goodman,MSMI-Cox-Boot-trWald
365,0.962,0.972,0.968,0.97,0.968,0.972,0.97,0.97,0.966
730,0.926,0.944,0.95,0.944,0.946,0.956,0.948,0.95,0.946
1095,0.93,0.924,0.92,0.918,0.92,0.946,0.946,0.936,0.942
1460,0.93,0.906,0.908,0.906,0.912,0.94,0.938,0.928,0.928
1825,0.924,0.856,0.86,0.856,0.86,0.934,0.928,0.906,0.912
