time,method,1,2,3
365,AJ,0.0011372253873980986,-0.0013598859567091077,2.2266056931098677e-4
365,MSMI-Cox,0.0010372000000000354,-0.00106740000000002,3.0199999999988493e-5
365,MSMI-Cox-Boot,0.001220000000000041,-0.0012810000000000224,6.0999999999987375e-5
365,MSMI-KM,0.0010372000000000354,-0.004581000000000022,0.003543799999999988
365,MSMI-KM-Boot,0.001220000000000041,-0.004743400000000023,0.0035233999999999886
730,AJ,0.001159149125467717,-5.540491583839246e-4,-6.050999670838015e-4
730,MSMI-Cox,0.0011156000000000083,4.715999999999879e-4,-0.0015871999999999965
730,MSMI-Cox-Boot,0.0013872000000000064,5.8399999999988375e-5,-0.0014455999999999907
730,MSMI-KM,0.0011156000000000083,-0.004036400000000011,0.0029208
730,MSMI-KM-Boot,0.0013872000000000064,-0.004356400000000013,0.002969200000000005
1095,AJ,-0.001345928468091904,-0.004765957795513864,0.006111886263605747
1095,MSMI-Cox,-0.0014588000000000088,-9.733999999999903e-4,0.002432200000000013
1095,MSMI-Cox-Boot,-0.001352400000000009,-0.0012153999999999895,0.00256780000000001
1095,MSMI-KM,-0.0014588000000000088,0.011702600000000011,-0.010243799999999985
1095,MSMI-KM-Boot,-0.001352400000000009,0.01136340000000001,-0.010010999999999996
1460,AJ,-0.00239895823629421,-0.004373315837272471,0.00677227407356666
1460,MSMI-Cox,-0.0023715999999999724,-0.001066599999999999,0.003438199999999994
1460,MSMI-Cox-Boot,-0.0023087999999999716,-0.0011050000000000007,0.0034137999999999586
1460,MSMI-KM,-0.0023715999999999724,0.0315058,-0.02913420000000003
1460,MSMI-KM-Boot,-0.0023087999999999716,0.0317786,-0.029469800000000032
1825,AJ,0.0020975406781766465,-0.004990261682636951,0.0028927210044602486
1825,MSMI-Cox,8.669999999999965e-4,-0.004573999999999997,0.003706999999999989
1825,MSMI-Cox-Boot,0.0013822000000000014,-0.004665199999999997,0.0032829999999999795
1825,MSMI-KM,8.669999999999965e-4,0.03648560000000001,-0.03735260000000001
1825,MSMI-KM-Boot,0.0013822000000000014,0.036837600000000005,-0.03821980000000001
