time,coverageAJ,coverageMSMI,coverageMSMICox
365,0.96,0.962,0.962
730,0.94,0.948,0.94
1095,0.928,0.91,0.91
1460,0.944,0.898,0.898
1825,0.9329268292682927,0.8556910569105691,0.8617886178861789
