time,coverageAJ,coverageMSMI,coverageMSMICox
365,0.8260869565217391,0.6521739130434783,0.6521739130434783
730,0.9198113207547169,0.6509433962264151,0.6509433962264151
1095,0.9478260869565217,0.6086956521739131,0.6086956521739131
1460,0.9618528610354223,0.5940054495912807,0.5940054495912807
1825,0.9605263157894737,0.531578947368421,0.531578947368421
