time,coverageAJ,coverageMSMI,coverageMSMICox
365,0.9574036511156186,0.9716024340770791,0.9716024340770791
730,0.9411764705882353,0.9655172413793104,0.9655172413793104
1095,0.9194214876033058,0.9504132231404959,0.9524793388429752
1460,0.9345549738219895,0.9633507853403142,0.9659685863874345
1825,0.8923076923076924,0.9333333333333333,0.9333333333333333
